periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2014T2,2014,2,S121,Banco Central,25602.79854282,1.3934216930202536,0.33176237190108726,-0.004687025734392725
2014T3,2014,3,S121,Banco Central,25734.394128168,1.3988667226647176,0.3356624250013609,0.003900053100273637
2014T4,2014,4,S121,Banco Central,26466.568062321,1.428597138919697,0.3566929410205718,0.02103051601921091
2015T1,2015,1,S121,Banco Central,26139.733458147002,1.4153234710327238,0.34735810640642795,-0.009334834614143861
2015T2,2015,2,S121,Banco Central,25824.024012158,1.4026864798199532,0.3383893120144621,-0.00896879439196585
2015T3,2015,3,S121,Banco Central,26113.311302992002,1.4140996074594387,0.3464930087411718,0.008103696726709686
2015T4,2015,4,S121,Banco Central,26574.001955648004,1.4320749102367127,0.3591243787880651,0.012631370046893298
2016T1,2016,1,S121,Banco Central,26895.339127074003,1.4445240249496472,0.3677798728035975,0.008655494015532395
2016T2,2016,2,S121,Banco Central,26956.76305809,1.4468817620129975,0.3694107318110424,0.001630859007444918
2016T3,2016,3,S121,Banco Central,26810.311302367,1.4412971799374799,0.3655435274946401,-0.0038672043164023062
2016T4,2016,4,S121,Banco Central,27908.109177127,1.4829625324525493,0.3940417981384236,0.02849827064378352
2017T1,2017,1,S121,Banco Central,26600.60120121,1.433570308991896,0.3601680522204134,-0.03387374591801018
2017T2,2017,2,S121,Banco Central,26186.801167488,1.4180518902008101,0.3492840213760852,-0.010884030844328207
2017T3,2017,3,S121,Banco Central,25151.166757323997,1.3792012104991658,0.3215044986090162,-0.02777952276706902
2017T4,2017,4,S121,Banco Central,26261.022516352,1.4206166131736797,0.3510910119899488,0.0295865133809326
2018T1,2018,1,S121,Banco Central,25277.746592028,1.3841542727138045,0.3250893197071485,-0.026001692282800304
2018T2,2018,2,S121,Banco Central,24917.333430047,1.370883673125495,0.3154555487859783,-0.009633770921170182
2018T3,2018,3,S121,Banco Central,25132.284858261,1.378740817275041,0.32117063138210217,0.005715082596123855
2018T4,2018,4,S121,Banco Central,27041.535312723,1.448002407618071,0.3701849566818047,0.04901432529970251
2019T1,2019,1,S121,Banco Central,26282.462857920997,1.4204656208651576,0.35098471988276847,-0.019200236799036208
2019T2,2019,2,S121,Banco Central,26305.555955623997,1.4212932325706906,0.35156718431526646,0.0005824644324979866
2019T3,2019,3,S121,Banco Central,25807.687943653997,1.4035429971048745,0.3389997519792346,-0.012567432336031858
2019T4,2019,4,S121,Banco Central,28384.807713053,1.4945753260112233,0.40184210362040396,0.06284235164116936
2020T1,2020,1,S121,Banco Central,28634.225834958,1.503297013948019,0.4076607053182873,0.005818601697883341
2020T2,2020,2,S121,Banco Central,45009.911273872,2.073949570570553,0.7294547944541271,0.3217940891358398
2020T3,2020,3,S121,Banco Central,53359.400317463,2.3647929825150555,0.8606904842923153,0.13123568983818823
2020T4,2020,4,S121,Banco Central,55171.788534876,2.4271379306946255,0.8867127568950006,0.026022272602685304
2021T1,2021,1,S121,Banco Central,55806.673353041,2.4487364945944283,0.8955721750370772,0.00885941814207658
2021T2,2021,2,S121,Banco Central,67111.145939632,2.829232531986463,1.0400054847656683,0.14443330972859114
2021T3,2021,3,S121,Banco Central,68792.456116626,2.8851116034348,1.0595635832447146,0.019558098479046215
2021T4,2021,4,S121,Banco Central,66085.463985354,2.7977660032435234,1.0288212427402168,-0.030742340504497756
2022T1,2022,1,S121,Banco Central,64727.159853986996,2.7549547556927365,1.0134010198539585,-0.015420222886258328
2022T2,2022,2,S121,Banco Central,63385.47123927399,2.7144042219996325,0.9985724898947317,-0.014828529959226788
2022T3,2022,3,S121,Banco Central,57004.28741523699,2.528137044038687,0.9274826852736185,-0.07108980462111314
2022T4,2022,4,S121,Banco Central,56490.967645116994,2.513517122574803,0.9216830163710943,-0.005799668902524258
2023T1,2023,1,S121,Banco Central,55982.992409991995,2.4992383205705857,0.9159860136805159,-0.005697002690578379
2023T2,2023,2,S121,Banco Central,56034.247063692994,2.500658530939397,0.9165541095629651,0.0005680958824492155
2023T3,2023,3,S121,Banco Central,57729.043633394,2.5474793104152615,0.9351043645568412,0.01855025499387608
2023T4,2023,4,S121,Banco Central,61372.711002767996,2.6465206465345634,0.9732458137343928,0.03814144917755158
2024T1,2024,1,S121,Banco Central,60608.11043524899,2.6259078665255755,0.9654266901644131,-0.007819123569979713
2024T2,2024,2,S121,Banco Central,40471.51523080799,2.089959015325741,0.7371444558924533,-0.22828223427195982
2024T3,2024,3,S121,Banco Central,30356.738954887995,1.823151729204406,0.6005667227346541,-0.1365777331577992
2024T4,2024,4,S121,Banco Central,29705.802502538998,1.8062076235995501,0.5912294116204441,-0.00933731111420999
2025T1,2025,1,S121,Banco Central,28515.275635536997,1.775598185126681,0.5741373718588839,-0.01709203976156015
2025T2,2025,2,S121,Banco Central,29503.316001252995,1.8007602449828406,0.5882089340577489,0.014071562198864962
2025T3,2025,3,S121,Banco Central,30246.040442920996,1.8195702289053035,0.5986003352396261,0.010391401181877202
2003T1,2003,1,S122,Bancos y cooperativas,39893.642034781195,2.3769418977323813,0.8658147445506515,
