periodo,año,trimestre,acreedor_codigo,acreedor_nombre,acreedor_clasif,deudor_codigo,deudor_nombre,deudor_clasif,exp_ij,pasivo_red_j,D_fondeo
2003T4,2003,4,S13,Gobierno general,Gobierno,S11,Empresas no financieras,Empresas NF,381.505871259,40868.643780764294,0.009334928589887877
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S11,Empresas no financieras,Empresas NF,309.7290813012481,40868.643780764294,0.007578648387814345
2003T4,2003,4,S124,FNM,NBFI,S11,Empresas no financieras,Empresas NF,269.4432981357456,40868.643780764294,0.0065929101924973805
2003T4,2003,4,S123,FMM,NBFI,S11,Empresas no financieras,Empresas NF,122.09056208500002,40868.643780764294,0.0029873896168402967
2003T4,2003,4,S14_S15,Hogares,Hogares,S11,Empresas no financieras,Empresas NF,3.792447948672634,40868.643780764294,9.27960313294671e-05
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S121,Banco Central,Banco Central,6667.851388392808,14837.387568527476,0.449395242767427
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S121,Banco Central,Banco Central,5673.363590000001,14837.387568527476,0.38236944096777065
2003T4,2003,4,S11,Empresas no financieras,Empresas NF,S121,Banco Central,Banco Central,702.1709856343778,14837.387568527476,0.047324435140037535
2003T4,2003,4,S124,FNM,NBFI,S121,Banco Central,Banco Central,434.15209918099964,14837.387568527476,0.02926068333632446
2003T4,2003,4,S128,Compañías de seguros,NBFI,S121,Banco Central,Banco Central,420.83423000000005,14837.387568527476,0.02836309478716174
2003T4,2003,4,S123,FMM,NBFI,S121,Banco Central,Banco Central,276.671867275,14837.387568527476,0.018646939429004757
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S121,Banco Central,Banco Central,273.3588203662906,14837.387568527476,0.0184236489815855
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S121,Banco Central,Banco Central,229.14998000000003,14837.387568527476,0.015444092091121525
2003T4,2003,4,S13,Gobierno general,Gobierno,S121,Banco Central,Banco Central,159.8346076779999,14837.387568527476,0.010772422499566921
2003T4,2003,4,S14_S15,Hogares,Hogares,S122,Bancos y cooperativas,Bancario,8992.925386862,37005.38900061244,0.2430166424331647
