periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2004T1,2004,1,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,3.0486896214357047,Hogares,False
2004T1,2004,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,4009.2494079470007,Resto del mundo,False
2004T2,2004,2,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.46529,Empresas NF,False
2004T2,2004,2,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18179.820472102976,Bancario,True
2004T2,2004,2,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,11134.681350000003,Bancario,True
2004T2,2004,2,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2004T2,2004,2,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,20.71267,NBFI,True
2004T2,2004,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,680.4699933957531,NBFI,True
2004T2,2004,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,724.99674,NBFI,True
2004T2,2004,2,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,358.264,NBFI,True
2004T2,2004,2,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1098.26875,NBFI,True
2004T2,2004,2,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,393.9880399999999,Gobierno,False
2004T2,2004,2,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,784.3842300052,Gobierno,False
2004T2,2004,2,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,12751.794277088004,Resto del mundo,False
