periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2006T1,2006,1,S124,FNM,3033.4077660569997,1571.8378602909997,0.5181755904627904
2006T2,2006,2,S124,FNM,3062.1045196759997,1626.0145555389993,0.5310121013475554
2006T3,2006,3,S124,FNM,3486.333918784,1919.1890983909996,0.5504891794932811
2006T4,2006,4,S124,FNM,3553.8579593069994,1930.429738054,0.5431927106142511
2007T1,2007,1,S124,FNM,3992.818144921,2009.7633233969998,0.5033445677844073
2007T2,2007,2,S124,FNM,4106.20284084,1990.6306750149997,0.4847862495287201
2007T3,2007,3,S124,FNM,4490.6902203399995,2241.577962897,0.49916112065447377
2007T4,2007,4,S124,FNM,4646.617637092,2130.5002956000003,0.45850561892442143
2008T1,2008,1,S124,FNM,4915.3473363,2364.756491624835,0.48109651868567477
2008T2,2008,2,S124,FNM,5074.547408319,2256.4211458329055,0.4446546586861763
2008T3,2008,3,S124,FNM,4994.501539537,2307.0933853550014,0.4619266541599411
2008T4,2008,4,S124,FNM,4015.9891400019997,1798.0843547864786,0.4477313787720012
2009T1,2009,1,S124,FNM,5083.086461291,2306.792523186936,0.453817290096037
2009T2,2009,2,S124,FNM,5007.1710672419995,2101.3894696444136,0.4196759889815149
2009T3,2009,3,S124,FNM,6050.8200969,2428.0121345379116,0.40126992633310127
2009T4,2009,4,S124,FNM,5834.918137852001,2168.982170050258,0.371724524459005
2010T1,2010,1,S124,FNM,6727.308256703,2458.3063057447634,0.3654219803731069
2010T2,2010,2,S124,FNM,7175.128874594,2899.341385669293,0.4040821337628378
2010T3,2010,3,S124,FNM,7185.806730333,2913.533357018513,0.40545668236800686
2010T4,2010,4,S124,FNM,6811.294727754001,2525.778698970204,0.37082211237731455
2011T1,2011,1,S124,FNM,7005.851781314001,2545.263924500707,0.3633054200903068
2011T2,2011,2,S124,FNM,7055.971040126001,2642.443060409087,0.3744974356303339
2011T3,2011,3,S124,FNM,7006.474654853001,2884.5365205524504,0.41169584743370047
2011T4,2011,4,S124,FNM,6769.489969880001,2747.124138205906,0.40580961792230896
2012T1,2012,1,S124,FNM,7242.518257757001,3145.084101888204,0.4342528371978495
2012T2,2012,2,S124,FNM,7116.770411762001,3169.42428923924,0.44534586699622647
2012T3,2012,3,S124,FNM,7138.021849717001,3083.297146877727,0.4319540079580969
2012T4,2012,4,S124,FNM,7222.962401827001,3141.3766143659004,0.4349152660093191
2013T1,2013,1,S124,FNM,7581.475038251,3209.4527478696327,0.42332827473241064
2013T2,2013,2,S124,FNM,7770.817762729001,3186.917607759434,0.4101135433962659
2013T3,2013,3,S124,FNM,8050.8513803040005,3409.67611427564,0.4235174583668554
2013T4,2013,4,S124,FNM,8921.604692480001,3742.004652825582,0.4194317930248253
2014T1,2014,1,S124,FNM,10932.929339407001,4708.1759708081845,0.4306417634876578
2014T2,2014,2,S124,FNM,13433.574531010001,6315.489628628547,0.470127263153221
2014T3,2014,3,S124,FNM,14754.417654828,7137.895623689212,0.48378023387141417
2014T4,2014,4,S124,FNM,14132.65900119,6957.163565246964,0.49227562659377516
2015T1,2015,1,S124,FNM,16642.660629608003,8253.529183835368,0.4959260641986527
2015T2,2015,2,S124,FNM,17154.050756538003,8269.191495190036,0.4820547410376736
2015T3,2015,3,S124,FNM,18450.470868015,9208.747435278003,0.49910636433902184
2015T4,2015,4,S124,FNM,16942.193462869,7867.961268768899,0.46440039101268377
2016T1,2016,1,S124,FNM,17501.732163239,8228.664658743484,0.4701628719943013
2016T2,2016,2,S124,FNM,18968.819008396003,8841.938687159625,0.46613016251807743
2016T3,2016,3,S124,FNM,22154.358778441,9921.624530676914,0.44784074456408607
2016T4,2016,4,S124,FNM,20904.020996134,8954.790138049499,0.42837644201111363
2017T1,2017,1,S124,FNM,23006.151566105,9694.858402645365,0.42140287456546255
2017T2,2017,2,S124,FNM,24580.955516888,9972.144283229387,0.40568578696536695
2017T3,2017,3,S124,FNM,24248.557908425002,9265.79542352763,0.3821173802796863
2017T4,2017,4,S124,FNM,22813.252869390002,8262.390568230407,0.3621750311336172
2018T1,2018,1,S124,FNM,23502.5857761,8094.216265854164,0.34439683969094365
2018T2,2018,2,S124,FNM,25001.552391064,8973.650228932942,0.35892372155819746
2018T3,2018,3,S124,FNM,26287.016990392003,9624.537969114013,0.36613275567295506
2018T4,2018,4,S124,FNM,25187.710706137004,9331.380657823758,0.3704735522291893
2019T1,2019,1,S124,FNM,27462.900242504,9873.707746636515,0.35952895212993913
2019T2,2019,2,S124,FNM,30741.462710743002,10939.753677593084,0.3558631474542701
2019T3,2019,3,S124,FNM,34081.063703263004,12312.795590744074,0.3612796741894302
2019T4,2019,4,S124,FNM,29763.762783703005,8890.310316715353,0.2986957792038041
2020T1,2020,1,S124,FNM,24724.299526743,6849.338262425064,0.2770286072216723
2020T2,2020,2,S124,FNM,27490.391353069004,7467.992186566862,0.27165827109016916
2020T3,2020,3,S124,FNM,29154.662464738998,7666.75723157135,0.2629684785698988
2020T4,2020,4,S124,FNM,31453.643873305,8054.300309041182,0.25606891021860084
2021T1,2021,1,S124,FNM,34722.552926757,8714.33861379902,0.2509705617608491
2021T2,2021,2,S124,FNM,33601.778635651994,7714.347876330947,0.22958153376279633
2021T3,2021,3,S124,FNM,33759.880309142,6646.845785091884,0.19688594047805177
2021T4,2021,4,S124,FNM,34323.227769871,6052.850945083431,0.17634853533200148
2022T1,2022,1,S124,FNM,31111.600317252,6359.108518177922,0.20439670262322282
