periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,215.0888374395544
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S121,Banco Central,Titulos deuda,438.81972467495405
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S122,Bancos y cooperativas,Titulos deuda,231.54446277139616
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,176.32561096900048
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S13,Gobierno general,Titulos deuda,447.5432075802898
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S2,Resto del mundo,Titulos deuda,440.00093241799976
2003T1,2003,1,Bce Final,S121,Banco Central,S2,Resto del mundo,Titulos deuda,5397.011199998001
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,172.7023610947155
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S121,Banco Central,Titulos deuda,6342.017967072858
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Titulos deuda,247.15525367104433
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,29.023714222608604
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S13,Gobierno general,Titulos deuda,192.82059
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S2,Resto del mundo,Titulos deuda,41.871933122
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,27.340464121999986
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S121,Banco Central,Titulos deuda,299.87457069599986
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S122,Bancos y cooperativas,Titulos deuda,19.993183999999992
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,0.02935886699999952
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S13,Gobierno general,Titulos deuda,2.906347294
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Titulos deuda,34.47695968000001
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,282.86304852121833
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S121,Banco Central,Titulos deuda,193.41853095400015
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S122,Bancos y cooperativas,Titulos deuda,267.02998724000014
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S124,Fondos del mercado no monetario,Titulos deuda,0.0
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,53.289015854781425
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S13,Gobierno general,Titulos deuda,20.900260508000013
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S2,Resto del mundo,Titulos deuda,176.43293217
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,18.220637938795463
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S121,Banco Central,Titulos deuda,289.47807092309773
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S122,Bancos y cooperativas,Titulos deuda,107.22644532829256
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,114.66092818429897
