periodo,año,trimestre,sector_pasivo_codigo,total_credito,hhi,n_acreedores,part_bancario,part_nbfi,sector_nombre
2005T4,2005,4,S14_S15,18027.5739300052,7256.574504411858,5,0.8468861777673263,0.12021597073541301,Hogares
2006T1,2006,1,S14_S15,18787.3910500052,7295.26507510417,5,0.8492354828583601,0.12113487838426454,Hogares
2006T2,2006,2,S14_S15,19556.1364600052,7328.736519254192,5,0.8512416685189961,0.12120068577182397,Hogares
2006T3,2006,3,S14_S15,20684.3801000052,7348.200918987993,5,0.8524052857641872,0.12184401117243858,Hogares
2006T4,2006,4,S14_S15,21530.300560482203,7321.599708539762,5,0.8507538419421752,0.12368251490588388,Hogares
2007T1,2007,1,S14_S15,22527.1931804822,7268.966267214012,5,0.8474127543124029,0.12785060424195954,Hogares
2007T2,2007,2,S14_S15,23526.390320482198,7298.937102318978,5,0.8492750327535363,0.12684141890658038,Hogares
2007T3,2007,3,S14_S15,24821.583550482203,7338.685296858493,5,0.8516876683957304,0.12674023007443802,Hogares
2007T4,2007,4,S14_S15,26170.711632817,7271.18684278579,5,0.8473756900898205,0.131576102641476,Hogares
2008T1,2008,1,S14_S15,27227.633202817,7287.135146003263,5,0.8483316856057195,0.13168025635181013,Hogares
2008T2,2008,2,S14_S15,28508.459262817003,7211.583678022928,5,0.8433734439433266,0.13778947202255246,Hogares
2008T3,2008,3,S14_S15,29824.923772817,7193.347531264196,5,0.8421283783092709,0.13994734912966278,Hogares
2008T4,2008,4,S14_S15,30630.612285080002,7170.56273518396,5,0.8406959116694898,0.14105167176512795,Hogares
2009T1,2009,1,S14_S15,30664.217695080006,7176.659915316639,5,0.841098017776537,0.1405849969129223,Hogares
2009T2,2009,2,S14_S15,31000.36088508,7195.690525690552,5,0.8423837247187779,0.1384630400243459,Hogares
2009T3,2009,3,S14_S15,31592.848734772004,7207.290395210512,5,0.843213847337539,0.13633118134293132,Hogares
2009T4,2009,4,S14_S15,32596.691999552004,7225.478309136181,5,0.8444508077806887,0.13407832396183228,Hogares
2010T1,2010,1,S14_S15,33061.194921562,7196.166860559239,5,0.8426302139439978,0.1349521543484855,Hogares
2010T2,2010,2,S14_S15,33976.9997176035,7280.021632687131,5,0.8479602007081553,0.13061811216075866,Hogares
2010T3,2010,3,S14_S15,34949.6307172028,7357.032684096407,5,0.8527971154021237,0.12697143085451074,Hogares
2010T4,2010,4,S14_S15,36094.8367917428,7376.0478838282725,5,0.8540623205436454,0.12450563264572143,Hogares
2011T1,2011,1,S14_S15,37106.06597322711,7404.608492738105,5,0.8557825109487966,0.1239307334094103,Hogares
2011T2,2011,2,S14_S15,38425.60830012711,7452.097851045859,5,0.8586987149892654,0.12235146494439353,Hogares
2011T3,2011,3,S14_S15,39483.09509147228,7495.309305359965,5,0.8613526840084372,0.12062839582018194,Hogares
2011T4,2011,4,S14_S15,41076.94770512128,7448.92244418499,5,0.8586740982607743,0.11875432948227128,Hogares
2012T1,2012,1,S14_S15,42241.9478674609,7445.592824101795,5,0.8584410984970913,0.11935719422123939,Hogares
2012T2,2012,2,S14_S15,43444.917429976456,7482.134823560784,5,0.8607030289388504,0.11764540321978856,Hogares
2012T3,2012,3,S14_S15,44324.70516590246,7509.955980388533,5,0.8624260075013789,0.11634084264291815,Hogares
2012T4,2012,4,S14_S15,45932.58672092774,7424.572900888852,5,0.8573264128013146,0.11607812414951033,Hogares
2013T1,2013,1,S14_S15,47029.98291215023,7405.834026950717,5,0.8562133894548212,0.11473728925182992,Hogares
2013T2,2013,2,S14_S15,48216.45111907952,7433.895316139156,5,0.857950131879853,0.11461451966366745,Hogares
2013T3,2013,3,S14_S15,49552.3882558822,7452.449747782935,5,0.859068857306123,0.11482889479549058,Hogares
2013T4,2013,4,S14_S15,51185.64832853352,7411.389612962672,5,0.8566058602550397,0.1146719912489221,Hogares
2014T1,2014,1,S14_S15,52922.89752769152,7379.453893891542,5,0.8547178825929165,0.11345167264808867,Hogares
2014T2,2014,2,S14_S15,54696.03485769151,7435.029406136726,5,0.8581479896608982,0.1118494324463761,Hogares
2014T3,2014,3,S14_S15,55930.740385490986,7497.264824973603,5,0.8619108103896177,0.11130708358216113,Hogares
2014T4,2014,4,S14_S15,58240.90355025491,7442.109072050264,5,0.8586003902019633,0.11114032230998362,Hogares
2015T1,2015,1,S14_S15,59481.26957396463,7406.059943106379,5,0.856438123332596,0.11033046997827523,Hogares
2015T2,2015,2,S14_S15,61211.83984094013,7475.717887904979,5,0.8607386813445811,0.10764225573224989,Hogares
2015T3,2015,3,S14_S15,62991.55255900815,7513.261278021216,5,0.8630527569546674,0.10580967493627604,Hogares
2015T4,2015,4,S14_S15,65445.61745823777,7457.3593466327275,5,0.8597144864101924,0.1041725915390761,Hogares
2016T1,2016,1,S14_S15,66976.72924526778,7427.634052349012,5,0.8579329083163127,0.10297730111219103,Hogares
2016T2,2016,2,S14_S15,68522.36067226778,7479.771425672178,5,0.8611366714747183,0.10149500283947913,Hogares
2016T3,2016,3,S14_S15,69762.49359726778,7489.987773049916,5,0.8617494326960428,0.10212751284565127,Hogares
2016T4,2016,4,S14_S15,71600.47119922779,7434.795982229581,5,0.8583800785317971,0.10328115937146773,Hogares
2017T1,2017,1,S14_S15,73231.34537822778,7392.052258799625,5,0.8557693827312753,0.10341503386132252,Hogares
2017T2,2017,2,S14_S15,74873.0365112278,7417.261725019437,5,0.8573297313951052,0.10272535656873288,Hogares
2017T3,2017,3,S14_S15,76349.5605649438,7385.391864230948,5,0.8553619790038789,0.10431787439332846,Hogares
2017T4,2017,4,S14_S15,78530.86158382779,7306.106481916717,5,0.8504652728101576,0.105071314565825,Hogares
2018T1,2018,1,S14_S15,80247.69360182779,7250.000017312694,5,0.8469692813621095,0.10606801096157312,Hogares
2018T2,2018,2,S14_S15,82274.89436832778,7233.640397929318,5,0.8459429755001875,0.10732497656659225,Hogares
2018T3,2018,3,S14_S15,84149.8750363278,7204.40860957673,5,0.8441084259512238,0.10878625358799006,Hogares
2018T4,2018,4,S14_S15,86823.5936749278,7122.227371233131,5,0.838927615731029,0.11021491662194308,Hogares
2019T1,2019,1,S14_S15,88385.46648473859,7079.824189227443,5,0.8362397589028941,0.11004039820708536,Hogares
2019T2,2019,2,S14_S15,90597.00111158745,7111.643567995969,5,0.8383092194621508,0.10933709633058364,Hogares
2019T3,2019,3,S14_S15,92863.19636080312,7103.565254267012,5,0.837809557665858,0.1099976852757913,Hogares
2019T4,2019,4,S14_S15,94088.0805357049,7176.524960305266,5,0.8424745878326583,0.10773192115714458,Hogares
2020T1,2020,1,S14_S15,95737.2046117713,7127.03075202161,5,0.839358463193211,0.10856731681532356,Hogares
2020T2,2020,2,S14_S15,95346.6947419696,7155.741562892615,5,0.8412006425456485,0.10705260989615276,Hogares
2020T3,2020,3,S14_S15,95399.2239129875,7049.927346066288,5,0.8344606465790021,0.10681662203451478,Hogares
2020T4,2020,4,S14_S15,97142.04262375932,7016.411073277782,5,0.8323210556678471,0.10708950773653236,Hogares
2021T1,2021,1,S14_S15,99061.48647068032,7011.228351148475,5,0.831983458653761,0.1055001536666105,Hogares
