periodo,año,trimestre,pas_prestamos_cp,pas_prestamos_lp,pas_prestamos_total,pas_depositos_vista,pas_depositos_otros,pas_depositos_total,pas_total,cap_nec_financiamiento,sector_codigo,sector_nombre,act_titulos_cp,act_titulos_lp,act_titulos_total,act_prestamos_cp,act_prestamos_lp,act_prestamos_total,act_cuotas_fmm,act_cuotas_fnm,act_depositos_vista,act_depositos_otros,pas_titulos_cp,pas_titulos_lp,pas_titulos_total,act_titulos_total_calc,act_prestamos_total_calc,act_depositos_total_calc,pas_titulos_total_calc,pas_prestamos_total_calc,pas_depositos_total_calc,act_credito_intermediado,act_sin_acciones
2004T1,2004,1,-981.0225,529.5098,-451.5127,,,,2972.8987,-190.5094,S11,Empresas no financieras,-7.8314,243.8013,235.9699,0.007,46.1914,46.1984,114.9767,78.0283,358.4311,-21.4467,12.4089,274.0813,286.4902,235.9699,46.1984,336.9844,286.4902,-451.5127,0.0,282.1683,812.1577
2004T1,2004,1,521.817,306.4703,828.2873,,,,840.3811,819.0116,S14_S15,Hogares e IPSFLSH,-2.9688,0.0,-2.9688,,,,178.2317,363.5642,-395.2764,-386.2698,,,,-2.9688,0.0,-781.5462,0.0,828.2873,0.0,-2.9688,-242.71910000000003
2004T1,2004,1,,,,,,,2026.2569,-819.6956,S2,Resto del mundo,0.0,570.6424,,-216.2145,-184.5462,-400.7607,18.4792,23.7698,-32.73,1.5422,,,,570.6424,-400.7607,-31.187799999999996,0.0,0.0,0.0,169.88169999999997,180.94289999999998
2004T2,2004,2,-2.4482,-0.9057,-3.3539,430.136,-30.4169,399.7191,230.8992,-62.8632,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3.3539,399.7191,0.0,0.0
2004T2,2004,2,845.37,35.96,881.33,928.58,-29.22,899.36,2445.83,-86.36,S122,Bancos y cooperativas,-184.38,28.64,-155.74,276.41,916.86,1193.26,-37.38,0.0,227.09,-145.69,0.0,-19.29,-19.29,-155.74,1193.27,81.4,-19.29,881.33,899.36,1037.53,1081.55
2004T2,2004,2,,,,,,,-70.7683,0.0,S123,Fondos mercado monetario,-76.811,110.9938,34.1828,,,,0.2463,-0.422002062,-0.478,-104.1427,,,,34.182799999999986,0.0,-104.6207,0.0,0.0,0.0,34.182799999999986,-70.61360206200001
2004T2,2004,2,,,,,,,608.6372,-7.5907,S124,Fondos mercado no monetario,14.8185,321.2927,336.1112,0.0,-4.7949,-4.7949,-0.0307,4.2086,13.4583,237.896,,,,336.11120000000005,-4.7949,251.3543,0.0,0.0,0.0,331.31630000000007,586.8485000000001
2004T2,2004,2,-0.9613,28.6867,27.7254,,,0.0389,459.3792,-212.3277,S125_S126,Otros intermediarios y auxiliares,-1.3145,-1.7182,-3.0327,8.455,39.9284,48.3834,-2.0353,18.6233,45.9213,-26.0831,12.6846,-25.1064,-12.4218,-3.0327,48.3834,19.8382,-12.421800000000001,27.725399999999997,0.0,45.3507,81.77690000000001
2004T2,2004,2,,,,,,,,,S128,Compañías de seguros,1.9109,139.0113,,,,,,,-7.7959,23.8067,,,,140.9222,0.0,16.0108,0.0,0.0,0.0,140.9222,156.933
2004T2,2004,2,,,,,,,612.3087,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004T2,2004,2,0.0032,,-229.2903,,,0.0,,558.9744,S13,Gobierno general,0.0,36.988,,,,,,,157.3297,-178.6506,0.0,-15.1975,-15.1975,36.988,0.0,-21.320899999999995,-15.1975,0.0032,0.0,36.988,15.667100000000005
2004T2,2004,2,96.6019,-188.1421,-91.5402,,,,2032.4771,-59.5657,S11,Empresas no financieras,152.1926,238.0927,390.2853,-0.0067,-17.2562,-17.2628,-0.161,160.115,256.8173,-153.6557,36.5577,237.0869,273.6446,390.2853,-17.2629,103.16159999999999,273.6446,-91.5402,0.0,373.0224,636.1379999999999
2004T2,2004,2,-10.6704,536.352,525.6816,,,,574.118,616.1409,S14_S15,Hogares e IPSFLSH,-4.4268,0.0,-4.4268,,,,-30.4365,397.3334,608.638,-55.03,,,,-4.4268,0.0,553.6080000000001,0.0,525.6816,0.0,-4.4268,916.0781000000001
2004T2,2004,2,,,,,,,779.1926,-707.903,S2,Resto del mundo,0.0,-153.523,,77.8176,-524.9799,-447.1623,-3.177,25.787,-7.1493,-9.5498,,,,-153.523,-447.1623000000001,-16.6991,0.0,0.0,0.0,-600.6853000000001,-594.7744000000001
2004T3,2004,3,-0.8845,0.4268,-0.4577,-254.0412,285.3163,31.2751,-358.6474,-57.3832,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.45769999999999994,31.27510000000001,0.0,0.0
2004T3,2004,3,-524.48,-215.79,-740.26,-186.99,1224.94,1037.95,1208.9,239.83,S122,Bancos y cooperativas,107.21,-342.51,-235.3,36.25,1242.94,1279.19,20.46,0.0,-228.21,-185.67,0.0,40.86,40.86,-235.3,1279.19,-413.88,40.86,-740.27,1037.95,1043.89,650.4700000000001
2004T3,2004,3,,,,,,,149.4085,0.0,S123,Fondos mercado monetario,-12.5407,-27.9471,-40.4878,,,,0.0273,0.039755246,1.0032,188.0467,,,,-40.4878,0.0,189.04989999999998,0.0,0.0,0.0,-40.4878,148.62915524599998
2004T3,2004,3,,,,,,,681.1906,-5.4871,S124,Fondos mercado no monetario,13.9747,261.4246,275.3994,0.0,-1.8155,-1.8155,0.1432,5.1316,-3.0313,214.4828,,,,275.3993,-1.8155,211.4515,0.0,0.0,0.0,273.5838,490.3101
2004T3,2004,3,12.8101,49.9558,62.7659,,,0.0393,943.4965,-65.8954,S125_S126,Otros intermediarios y auxiliares,2.3964,-5.4455,-3.0491,-11.9502,57.6024,45.6522,15.2228,14.2349,-197.1792,21.3241,43.6122,-46.3815,-2.7693,-3.0491,45.6522,-175.8551,-2.769300000000001,62.7659,0.0,42.6031,-103.7943
2004T3,2004,3,,,,,,,,,S128,Compañías de seguros,16.6028,94.8669,,,,,,,13.3202,30.3762,,,,111.4697,0.0,43.6964,0.0,0.0,0.0,111.4697,155.1661
2004T3,2004,3,,,,,,,603.9814,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004T3,2004,3,0.0032,,21.7695,,,0.0,,317.9901,S13,Gobierno general,0.0,-28.9893,,,,,,,-51.9721,254.6253,0.0,6.47,6.47,-28.9893,0.0,202.65320000000003,6.47,0.0032,0.0,-28.9893,173.6639
