periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2021T2,S11,125347.85538052171,840310.6106,0.14916847865460203,67352.86140279796,0.08015233956727806,,,,,,,254644.6980994945,0.25545947417306253,Empresas no financieras,2021,2
2021T3,S11,127965.7073789816,864610.1006,0.14800394685440205,70997.37904091965,0.08211490820157052,,,,,,,256167.0653735501,0.23627072700039756,Empresas no financieras,2021,3
2021T4,S11,130169.22926544753,877649.1163000001,0.14831579824772795,70054.87004686368,0.07982104550187613,,,,,,,260218.89084297942,0.2286042587007789,Empresas no financieras,2021,4
2022T1,S11,132081.79528236485,868262.718,0.15212192409528846,66599.83799617965,0.07670470770596838,,,,,,,247210.39155263087,0.2531722255501178,Empresas no financieras,2022,1
2022T2,S11,140277.45097170834,902391.299,0.1554508018053356,69717.72312983774,0.07725886010547377,,,,,,,260408.49482329044,0.25179551437323056,Empresas no financieras,2022,2
2022T3,S11,142903.55972245024,909381.1897999999,0.1571437383193279,69074.2671771192,0.07595744001732727,,,,,,,257430.18362775567,0.2544305142163296,Empresas no financieras,2022,3
2022T4,S11,143473.77028636853,920919.9349,0.15579396736801873,68687.93507327577,0.07458621805242428,,,,,,,264758.55719664285,0.2636162924246321,Empresas no financieras,2022,4
2023T1,S11,142205.92228586882,911288.7021,0.1560492541586057,68801.41717468762,0.07549903451687665,,,,,,,264650.6450007308,0.2672709584685938,Empresas no financieras,2023,1
2023T2,S11,142581.76651770042,922009.033,0.15464248333204825,71674.66734891785,0.07773748931255628,,,,,,,270445.09908888175,0.25960291875937563,Empresas no financieras,2023,2
2023T3,S11,143824.34569961583,952195.3644000001,0.15104499672737098,77091.24676955721,0.08096158588015617,,,,,,,276424.30102996714,0.24572314015874294,Empresas no financieras,2023,3
2023T4,S11,144303.15525924056,981979.0114,0.14695136411674284,80714.9804987212,0.08219623796607065,,,,,,,287109.69252477796,0.24772933494875551,Empresas no financieras,2023,4
2024T1,S11,146238.05428986702,1025187.5281,0.14264517493779197,85365.24885475056,0.08326793539222979,,,,,,,304794.7782377461,0.24517482869479432,Empresas no financieras,2024,1
2024T2,S11,145549.3973819281,991707.8225,0.14676641050890582,83886.50997059376,0.08458792808462874,,,,,,,304253.0427984164,0.2563867908146078,Empresas no financieras,2024,2
2024T3,S11,145996.26392082951,995086.3203,0.14671718517526636,83990.39341129645,0.08440513320088142,,,,,,,323728.9939937511,0.2637014978325108,Empresas no financieras,2024,3
2024T4,S11,150686.00100196994,1014093.6874,0.1485917946973012,88262.57930748019,0.08703592222704155,,,,,,,329167.3001930215,0.2636882236241634,Empresas no financieras,2024,4
