periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S13,Gobierno general,Titulos deuda,-0.01028
2003T1,2003,1,Financiera,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,55.844657969563556
2003T1,2003,1,Financiera,S128,Compañías de seguro,S121,Banco Central,Titulos deuda,7.17688
2003T1,2003,1,Financiera,S128,Compañías de seguro,S122,Bancos y cooperativas,Titulos deuda,35.00824000000001
2003T1,2003,1,Financiera,S128,Compañías de seguro,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,17.655602030436462
2003T1,2003,1,Financiera,S128,Compañías de seguro,S13,Gobierno general,Titulos deuda,7.8429
2003T1,2003,1,Financiera,S128,Compañías de seguro,S2,Resto del mundo,Titulos deuda,-8.033496087
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,-30.611881322964944
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S121,Banco Central,Titulos deuda,172.58758999999995
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S122,Bancos y cooperativas,Titulos deuda,-106.07579999999999
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,40.02953019896495
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S13,Gobierno general,Titulos deuda,26.7327
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S2,Resto del mundo,Titulos deuda,73.660571124
2003T1,2003,1,Financiera,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,1.338720695
2003T1,2003,1,Financiera,S13,Gobierno general,S121,Banco Central,Titulos deuda,0.537070434
2003T1,2003,1,Financiera,S13,Gobierno general,S122,Bancos y cooperativas,Titulos deuda,2.204768317
2003T1,2003,1,Financiera,S13,Gobierno general,S13,Gobierno general,Titulos deuda,0.30487255900000004
2003T1,2003,1,Financiera,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,0.5109088604813115
2003T1,2003,1,Financiera,S14_S15,Hogares,S121,Banco Central,Titulos deuda,0.0
2003T1,2003,1,Financiera,S14_S15,Hogares,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,6.250809354670618
2003T1,2003,1,Financiera,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,-3.9140662790000005
2003T1,2003,1,Financiera,S2,Resto del mundo,S122,Bancos y cooperativas,Titulos deuda,-3.196976956
2003T1,2003,1,Financiera,S2,Resto del mundo,S13,Gobierno general,Titulos deuda,717.0305869089999
2003T2,2003,2,Financiera,S11,Empresas no financieras,S123,Fondos del mercado monetario,Cuotas FMM,194.9260693173244
2003T2,2003,2,Financiera,S122,Bancos y cooperativas,S123,Fondos del mercado monetario,Cuotas FMM,21.14952246889691
2003T2,2003,2,Financiera,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FMM,0.215364685
2003T2,2003,2,Financiera,S124,Fondos del mercado no monetario,S123,Fondos del mercado monetario,Cuotas FMM,-0.0977592010962854
2003T2,2003,2,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S123,Fondos del mercado monetario,Cuotas FMM,50.93763944860064
2003T2,2003,2,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FMM,2.9606197
2003T2,2003,2,Financiera,S128,Compañías de seguro,S123,Fondos del mercado monetario,Cuotas FMM,1.6704046303407287
2003T2,2003,2,Financiera,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FMM,1.56072
2003T2,2003,2,Financiera,S13,Gobierno general,S123,Fondos del mercado monetario,Cuotas FMM,0.395387503595815
2003T2,2003,2,Financiera,S14_S15,Hogares,S123,Fondos del mercado monetario,Cuotas FMM,224.0761008383379
2003T2,2003,2,Financiera,S2,Resto del mundo,S123,Fondos del mercado monetario,Cuotas FMM,23.253348426
2003T2,2003,2,Financiera,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FMM,-1.4551915228366852e-14
2003T2,2003,2,Financiera,S11,Empresas no financieras,S124,Fondos del mercado no monetario,Cuotas FNM,20.3401427560819
2003T2,2003,2,Financiera,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FNM,0.04656786
2003T2,2003,2,Financiera,S124,Fondos del mercado no monetario,S124,Fondos del mercado no monetario,Cuotas FNM,0.189634769
2003T2,2003,2,Financiera,S124,Fondos del mercado no monetario,S2,Resto del mundo,Cuotas FNM,2.8435201699999997
2003T2,2003,2,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S124,Fondos del mercado no monetario,Cuotas FNM,59.53685053149673
2003T2,2003,2,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FNM,-0.0265707
2003T2,2003,2,Financiera,S128,Compañías de seguro,S124,Fondos del mercado no monetario,Cuotas FNM,-12.10651130750266
2003T2,2003,2,Financiera,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FNM,-11.99039
2003T2,2003,2,Financiera,S129,Fondo de pensiones,S124,Fondos del mercado no monetario,Cuotas FNM,5.7334400060707615
2003T2,2003,2,Financiera,S129,Fondo de pensiones,S2,Resto del mundo,Cuotas FNM,666.9320600000001
2003T2,2003,2,Financiera,S14_S15,Hogares,S124,Fondos del mercado no monetario,Cuotas FNM,20.10138987985324
2003T2,2003,2,Financiera,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FNM,1.656754225
2003T2,2003,2,Financiera,S11,Empresas no financieras,S122,Bancos y cooperativas,Depositos,-264.5393249013277
2003T2,2003,2,Financiera,S11,Empresas no financieras,S2,Resto del mundo,Depositos,172.98487421689998
2003T2,2003,2,Financiera,S121,Banco Central,S2,Resto del mundo,Depositos,-509.585655459
2003T2,2003,2,Financiera,S122,Bancos y cooperativas,S121,Banco Central,Depositos,-255.4236
2003T2,2003,2,Financiera,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Depositos,-178.98505000000003
2003T2,2003,2,Financiera,S122,Bancos y cooperativas,S2,Resto del mundo,Depositos,83.92293682600001
2003T2,2003,2,Financiera,S123,Fondos del mercado monetario,S122,Bancos y cooperativas,Depositos,572.39819604
2003T2,2003,2,Financiera,S124,Fondos del mercado no monetario,S122,Bancos y cooperativas,Depositos,-149.65997771800002
2003T2,2003,2,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S122,Bancos y cooperativas,Depositos,313.9004347983301
2003T2,2003,2,Financiera,S128,Compañías de seguro,S122,Bancos y cooperativas,Depositos,14.025269999999999
