periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2025T3,2025,3,S11,Empresas no financieras,113741.0107086227,4.823672513717789
2003T1,2003,1,S121,Banco Central,18182.328553997002,1.0833390067683335
2003T2,2003,2,S121,Banco Central,17137.926347243,1.0217574897486037
2003T3,2003,3,S121,Banco Central,17117.799299465,1.020569775117035
2003T4,2003,4,S121,Banco Central,17500.654979322,1.0431971793639028
2004T1,2004,1,S121,Banco Central,16924.068583167,1.0089190409523985
2004T2,2004,2,S121,Banco Central,17097.757988055,1.0191270876929412
2004T3,2004,3,S121,Banco Central,16680.758482285,0.9948699274145829
2004T4,2004,4,S121,Banco Central,17152.620463962,1.0221183318297111
2005T1,2005,1,S121,Banco Central,16389.253925581,0.9777334081094822
2005T2,2005,2,S121,Banco Central,16582.681768439,0.9887932215867896
2005T3,2005,3,S121,Banco Central,15854.178192970001,0.9476756198702441
2005T4,2005,4,S121,Banco Central,16389.933221357,0.9774814997870276
2006T1,2006,1,S121,Banco Central,15364.661574957001,0.9202538204048558
2006T2,2006,2,S121,Banco Central,15776.087737317,0.9429201801545171
2006T3,2006,3,S121,Banco Central,15607.578287672,0.9337626302380715
2006T4,2006,4,S121,Banco Central,16886.567100356,1.003514064964228
2007T1,2007,1,S121,Banco Central,14581.331913934002,0.8780452275132334
2007T2,2007,2,S121,Banco Central,15878.46318366,0.9476929632096966
2007T3,2007,3,S121,Banco Central,14405.999840723,0.8709179515074337
2007T4,2007,4,S121,Banco Central,14569.082707435,0.8792288974603268
2008T1,2008,1,S121,Banco Central,14213.386558153,0.8612848636118726
2008T2,2008,2,S121,Banco Central,15261.309926782,0.9130272412309172
2008T3,2008,3,S121,Banco Central,18008.219484003,1.0439051266292383
2008T4,2008,4,S121,Banco Central,18104.222737234,1.0483802665882735
2009T1,2009,1,S121,Banco Central,18017.17782102,1.0442273147088397
2009T2,2009,2,S121,Banco Central,18169.134844421,1.051486516840257
2009T3,2009,3,S121,Banco Central,19662.515562595,1.1231649493486267
2009T4,2009,4,S121,Banco Central,20746.40903925,1.174919697341978
2010T1,2010,1,S121,Banco Central,20623.540093504,1.1690683827852377
2010T2,2010,2,S121,Banco Central,19243.00965606,1.1039556566552586
2010T3,2010,3,S121,Banco Central,18112.798633436,1.05099354080497
2010T4,2010,4,S121,Banco Central,18901.699030598,1.0877626004264664
2011T1,2011,1,S121,Banco Central,20335.821903482,1.1542240701132718
2011T2,2011,2,S121,Banco Central,21668.804739971998,1.2151189780589033
2011T3,2011,3,S121,Banco Central,23382.205412934,1.2929559290613477
2011T4,2011,4,S121,Banco Central,26777.079057863,1.4452331819819277
2012T1,2012,1,S121,Banco Central,24587.639732128002,1.348069476649958
2012T2,2012,2,S121,Banco Central,25291.20743793,1.3791631484615168
2012T3,2012,3,S121,Banco Central,24868.259041443,1.3604412034219104
2012T4,2012,4,S121,Banco Central,26743.13548225,1.4425259178383374
