periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2015T1,2015,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),41078.202411228674,2.052324701091825,0.7189731511899895,0.05257217410216053
2015T2,2015,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),41488.59021272441,2.068751409596171,0.7269452415187965,0.007972090328806969
2015T3,2015,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),43109.112053360455,2.132685164018747,0.7573818261658111,0.030436584647014597
2015T4,2015,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),41805.85910736242,2.0818346287091423,0.7332495379839163,-0.024132288181894723
2016T1,2016,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),44094.06625492236,2.1704834244289684,0.7749499189759753,0.04170038099205897
2016T2,2016,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),44269.3973450919,2.1772134497271325,0.7780458250928765,0.003095906116901137
2016T3,2016,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),47051.42195656358,2.283299202691813,0.8256214157680926,0.047575590675216106
2016T4,2016,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),46496.09717728413,2.2622226427703525,0.8163478002465359,-0.0092736155215567
2017T1,2017,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),49664.194360416936,2.381900202599092,0.8678985735814938,0.051550773334957944
2017T2,2017,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),51326.50537208877,2.4442405514099095,0.8937344617563682,0.025835888174874366
2017T3,2017,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),51583.49088169311,2.4538810786303418,0.8976708848986509,0.003936423142282708
2017T4,2017,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),49089.503715685474,2.360815396982002,0.8590070665594159,-0.038663818339234934
2018T1,2018,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),53138.36635317076,2.5109573910156215,0.9206641111010166,0.0616570445416007
2018T2,2018,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),54225.29569613588,2.5509786932677168,0.9364770868189202,0.01581297571790352
2018T3,2018,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),56327.57184484921,2.6278234338671997,0.9661559118611401,0.02967882504221997
2018T4,2018,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),55525.69758233964,2.5987339623697543,0.9550243888847533,-0.011131522976386865
